,0
906,-709086.363705
907,-707984.681363
908,-708346.765168
909,-708412.231487
910,-708735.196543
911,-706290.238435
912,-707399.171379
913,-707750.411287
914,-705876.396609
915,-705794.965953
916,-709175.819441
917,-708070.927436
918,-709942.72399
919,-710887.299657
920,-705781.923765
921,-705744.610199
922,-704258.029909
923,-705198.437765
924,-705806.002626
925,-708929.784997
926,-707318.040524
927,-706332.754449
928,-705249.341698
929,-706597.61304
930,-709174.572442
931,-708592.356467
932,-709303.992893
933,-708949.510077
934,-709652.42735
935,-703032.272398
936,-703431.221421
937,-703132.378423
938,-703302.738327
939,-706997.043183
940,-708527.688687
941,-708585.239279
942,-709432.871879
943,-706904.334749
944,-703380.071819
945,-704975.498292
946,-709120.870552
947,-709091.523082
948,-709140.370139
949,-709034.176233
950,-709781.5776
951,-706449.876279
952,-703866.219851
953,-707016.256734
954,-707470.403686
955,-709351.282375
956,-706556.110871
957,-705575.284343
958,-706765.881548
959,-707109.709631
960,-705570.276073
961,-706866.085611
962,-707026.815867
963,-707025.519568
964,-707106.585267
965,-708444.518062
966,-707826.169543
967,-706132.670129
968,-706228.323593
969,-704073.005445
970,-706086.50315
971,-706608.839643
972,-704907.097137
973,-702013.869153
974,-703357.467152
975,-705772.878557
976,-708785.682108
977,-709129.62697
978,-704446.497887
979,-707730.489056
980,-707602.779743
981,-707245.567638
982,-708736.167834
983,-708587.536552
984,-709302.819751
985,-709545.654371
986,-708572.027579
987,-708041.040722
988,-706001.931234
989,-706567.582064
990,-707398.447918
991,-707402.97347
992,-709023.528218
993,-708439.277554
994,-709261.224367
995,-707038.894574
996,-704416.495682
997,-709248.361144
998,-709379.059739
999,-709294.836183
1000,-710439.796627
1001,-708675.052328
1002,-708890.078217
1003,-710251.355664
1004,-708987.445545
1005,-708753.896961
1006,-708203.749222
1007,-709118.643799
1008,-709602.250238
1009,-708914.138011
1010,-710325.850607
1011,-710039.777808
1012,-706469.500134
1013,-706707.703256
1014,-707497.241821
1015,-708022.628821
1016,-704622.451717
1017,-704587.014385
1018,-709116.256904
1019,-710168.234969
1020,-707351.663186
1021,-708388.839077
1022,-704934.199108
1023,-705979.069571
1024,-705310.510734
1025,-701531.31712
1026,-702134.693511
1027,-706595.771532
1028,-708636.963003
1029,-707326.208819
1030,-704026.070288
1031,-707993.29095
1032,-708244.504741
1033,-706736.189
1034,-706767.428659
1035,-706486.788544
1036,-704356.053005
1037,-704253.838106
1038,-706799.287908
1039,-709710.646181
1040,-710560.053098
1041,-709930.600426
1042,-707398.060586
1043,-706004.478019
1044,-705638.678124
1045,-707323.44386
1046,-706772.43571
1047,-703641.275587
1048,-706700.112509
1049,-707922.123932
1050,-706798.719602
1051,-708163.193496
1052,-709371.88377
1053,-708265.220147
1054,-705049.940444
1055,-705556.329626
1056,-708566.177288
1057,-707017.261571
